movieId,title,imdbId
291,Poison Ivy II (1995),114151
545,Harlem (1993),
557,Mamma Roma (1962),056215
578,"Hour of the Pig, The (1993)",107146
624,Condition Red (1995),112712
669,Aparajito (1956),048956
811,"Bewegte Mann, Der (1994)",109255
863,Celestial Clockwork (1994),107537
888,Land Before Time III: The Time of the Great Giving (1995),113596
978,"Blue Angel, The (Blaue Engel, Der) (1930)",020697
1064,Aladdin and the King of Thieves (1996),115491
1108,Prerokbe Ognja (1995),114176
1205,"Transformers: The Movie, The (1986)",092106
1294,M*A*S*H (1970),066026
1362,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",065777
1494,"Sixth Man, The (1997)",120142
1710,Man of Her Dreams (1996),116976
1741,"Midaq Alley (Callejón de los milagros, El) (1995)",112619
1758,Dangerous Beauty (1998),118892
1868,"Truce, The (1996)",117959
2092,"Return of Jafar, The (1993)",107952
2228,"Mountain Eagle, The (1926)",016127
2645,Dracula (1958),051554
3027,Slaughterhouse 2 (1988),096117
3356,Condo Painting (2000),154352
3366,Where Eagles Dare (1969),065207
3416,"Trial, The (Le Procès) (1963)",057427
3464,Solar Crisis (1993),100649
3482,Price of Glory (2000),188160
3532,Freedom for Us (À nous la liberté ) (1931),022599
3660,Puppet Master (1989),098143
3661,Puppet Master II (1990),100438
3842,Make Them Die Slowly (Cannibal Ferox) (1980),082700
3935,Kronos (1973),071276
